question,answer,contexts,ground_truth,question_type,topic
What is the maximum daily dosage of acetaminophen for adults?,The maximum daily dosage of acetaminophen for adults is 4 grams (4000 mg) in a 24-hour period.,"The usual dosage for adults and children age 12 and over is 325-650 mg every 4-6 hours as needed. No more than 4 grams (4000 mg) should be taken in 24 hours. Because the drug can potentially harm the liver, people who drink alcohol in large quantities should take considerably less acetaminophen and possibly should avoid the drug completely.",The maximum recommended daily dose of acetaminophen for adults is 4 grams (4000 mg) per 24 hours.,factual,Acetaminophen
What are the side effects of acetaminophen overdose?,"Overdoses of acetaminophen may cause nausea, vomiting, sweating, and exhaustion. Very large overdoses can cause liver damage.","Overdoses of acetaminophen may cause nausea, vomiting, sweating, and exhaustion. Very large overdoses can cause liver damage. In case of an overdose, get immediate medical attention.","Acetaminophen overdose symptoms include nausea, vomiting, sweating, and exhaustion, with very large overdoses potentially causing liver damage.",factual,Acetaminophen
How does acetaminophen differ from aspirin in treating arthritis?,"While both drugs relieve pain and reduce fever similarly, acetaminophen is less likely to irritate the stomach than aspirin. However, unlike aspirin, acetaminophen does not reduce the redness, stiffness, or swelling that accompany arthritis.","Studies have shown that acetaminophen relieves pain and reduces fever about as well as aspirin. But differences between these two common drugs exist. Acetaminophen is less likely than aspirin to irritate the stomach. However, unlike aspirin, acetaminophen does not reduce the redness, stiffness, or swelling that accompany arthritis.","Unlike aspirin, acetaminophen does not reduce joint inflammation (redness, stiffness, swelling) in arthritis, though both drugs relieve pain and fever equally well. Acetaminophen has the added advantage of being gentler on the stomach.",comparison,Acetaminophen
Can a patient with liver disease safely take acetaminophen?,"People who already have kidney or liver disease or liver infections should consult with a physician before using acetaminophen, as the drug can potentially harm the liver.","Because the drug can potentially harm the liver, people who drink alcohol in large quantities should take considerably less acetaminophen and possibly should avoid the drug completely. People who already have kidney or liver disease or liver infections should also consult with a physician before using the drug.",Patients with liver disease should consult a physician before taking acetaminophen due to the drug's potential to cause liver harm. It should be used cautiously or possibly avoided in such patients.,clinical_judgment,Acetaminophen
Why might cigarette smoking affect the efficacy of acetaminophen?,"Smoking cigarettes may interfere with the effectiveness of acetaminophen. Smokers may need to take higher doses of the medicine. However, they should not take more than the recommended daily dosage unless a physician advises otherwise.","Smoking cigarettes may interfere with the effectiveness of acetaminophen. Smokers may need to take higher doses of the medicine, but should not take more than the recommended daily dosage unless told by a physician to do so.","Cigarette smoking can reduce acetaminophen's effectiveness, potentially requiring higher doses, though smokers must still stay within the recommended daily limit.",pharmacology,Acetaminophen
Is acetaminophen available without a prescription?,"Yes, acetaminophen is available without a prescription. It is sold under various brand names including Tylenol, Panadol, Aspirin Free Anacin, and Bayer Select Maximum Strength Headache Pain Relief Formula.","This drug is available without a prescription. Acetaminophen—or APAP—is sold under various brand names, including Tylenol, Panadol, Aspirin Free Anacin, and Bayer Select Maximum Strength Headache Pain Relief Formula.","Yes, acetaminophen is an over-the-counter drug available without a prescription.",yes_no,Acetaminophen
What is achalasia and which part of the digestive system does it affect?,"Achalasia is a disorder of the esophagus that prevents normal swallowing. It affects the lower esophageal sphincter, which fails to relax during swallowing, preventing food from entering the stomach.","Achalasia is a disorder of the esophagus that prevents normal swallowing. A ring of muscle called the lower esophageal sphincter encircles the esophagus just above the entrance to the stomach. In achalasia, which means 'failure to relax,' the esophageal sphincter remains contracted. Normal peristalsis is interrupted and food cannot enter the stomach.","Achalasia is an esophageal disorder where the lower esophageal sphincter fails to relax during swallowing, preventing food from passing into the stomach.",definition,Achalasia
What is the first-line treatment for achalasia?,"The first-line treatment for achalasia is balloon dilation, where an inflatable membrane or balloon is passed down the esophagus to the sphincter and inflated to force it open. This procedure is effective in about 70% of patients.","The first-line treatment for achalasia is balloon dilation. In this procedure, an inflatable membrane or balloon is passed down the esophagus to the sphincter and inflated to force the sphincter open. Dilation is effective in about 70% of patients.","Balloon dilation is the first-line treatment for achalasia, with approximately 70% effectiveness.",treatment,Achalasia
What serious complication can develop from untreated achalasia?,Cancer of the esophagus (esophageal carcinoma) can develop as a complication of achalasia in 2-7% of patients. This complication can reduce life expectancy.,Cancer of the esophagus occurs as a complication of achalasia in 2-7% of patients. ||| Most patients with achalasia can be treated effectively. Achalasia does not reduce life expectancy unless esophageal carcinoma develops.,"Esophageal carcinoma (cancer of the esophagus) is a serious complication of achalasia, occurring in 2-7% of patients, and is the main cause of reduced life expectancy in this condition.",complication,Achalasia
What diagnostic tests are used for achalasia?,"Diagnostic tests for achalasia include: esophageal manometry (measures sphincter pressure), barium X-ray of the esophagus (reveals constriction), and endoscopy (allows direct visual inspection of the esophageal surface and can detect tumors).","Tests used to diagnose achalasia include: Esophageal manometry. In this test, a thin tube is passed into the esophagus to measure the pressure exerted by the esophageal sphincter. X ray of the esophagus. Barium may be swallowed to act as a contrast agent. Endoscopy. In this test, a tube containing a lens and a light source is passed into the esophagus.","Achalasia is diagnosed using esophageal manometry, barium X-ray, and endoscopy.",diagnostic,Achalasia
Does achalasia reduce life expectancy?,Achalasia does not reduce life expectancy unless esophageal carcinoma develops as a complication. Most patients can be treated effectively.,Most patients with achalasia can be treated effectively. Achalasia does not reduce life expectancy unless esophageal carcinoma develops.,"Achalasia itself does not reduce life expectancy, but the complication of esophageal carcinoma can be life-threatening.",prognosis,Achalasia
