user_input,response,retrieved_contexts,reference
What is the maximum daily dosage of acetaminophen for adults?,No more than 4 grams (4000 mg) should be taken in 24 hours.,"['Because the drug can potentially harm the liver, people\nwho drink alcohol in large quantities should take consid-\nerably less acetaminophen and possibly should avoid the\ndrug completely.\nFor children ages 6-11 years, the usual dose is 150-\n300 mg, three to four times a day. Check with a physician\nfor dosages for children under age 6 years.\nPrecautions\nNever take more than the recommended dosage of\nacetaminophen unless told to do so by a physician or\ndentist.', 'and reduces fever about as well as aspirin. But differences\nbetween these two common drugs exist. Acetaminophen\nis less likely than aspirin to irritate the stomach. However,\nunlike aspirin, acetaminophen does not reduce the red-\nness, stiffness, or swelling that accompany arthritis.\nRecommended dosage\nThe usual dosage for adults and children age 12 and\nover is 325-650 mg every 4- 6 hours as needed. No more\nthan 4 grams (4000 mg) should be taken in 24 hours.', 'moderate pain. Although the drug is well tolerated in nor-\nmal doses, it may have significant toxicity at high doses.\nBecause acetaminophen is largely free of side effects at\ntherapeutic doses, it has been considered the first choice\nfor mild pain, including that of osteoarthritis.\nRecommended dosage\nAppropriate dosage varies by drug, and should con-\nsider the type of pain, as well as other risks associated\nGALE ENCYCLOPEDIA OF MEDICINE 2174\nAnalgesics', 'acetylcholine, an important neurotransmitter released by\nneurons that is necessary for cognitive function. These\ndrugs modestly increase cognition and improve one’s\nability to perform normal activities of daily living.\nWhat triggers the formation of plaques and tangles\nand the development of AD are unknown. AD likely\nresults from many interrelated factors, including genetic,\nenvironmental, and others not yet identified. Two types\nof AD exist: familial AD (FAD), which is a rare autoso-', 'for children under six years of age is 50 mg per day,\ndivided into several small doses.\nThe dosage may be different for different people.\nCheck with the physician who prescribed the drug or the\npharmacist who filled the prescription for the correct\ndosage, and take the medicine exactly as directed.\nPrecautions\nThis medicine should not be used for more than four\nmonths at a time because its effects can wear off. See a\nphysician regularly while taking the medicine to deter-']",The maximum recommended daily dose of acetaminophen for adults is 4 grams (4000 mg) per 24 hours.
What are the side effects of acetaminophen overdose?,"Based on the provided context, the side effects of an acetaminophen overdose may include:

*   Nausea
*   Vomiting
*   Sweating
*   Exhaustion
*   Liver damage (from very large overdoses)

Other signs of an overdose that require emergency medical care are:
*   Cold, clammy skin
*   Bluish discoloration of the skin
*   Extremely small pupils
*   Serious difficulty breathing or extremely slow breathing
*   Extreme sleepiness or unresponsiveness
*   Severe weakness
*   Confusion
*   Severe dizziness
*   Severe drowsiness
*   Slow heartbeat
*   Low blood pressure
*   Severe nervousness or restlessness

The text states that in case of an overdose, one should get immediate medical attention.","['a rash, swelling, or difficulty breathing after taking\nacetaminophen should stop taking the drug and get\nimmediate medical attention. Other rare side effects\ninclude yellow skin or eyes, unusual bleeding or bruis-\ning, weakness, fatigue , bloody or black stools, bloody\nor cloudy urine, and a sudden decrease in the amount\nof urine.\nOverdoses of acetaminophen may cause nausea,\nvomiting, sweating, and exhaustion. Very large overdoses\ncan cause liver damage. In case of an overdose, get', 'immediate medical attention.\nInteractions\nAcetaminophen may interact with a variety of other\nmedicines. When this happens, the effects of one or both\nof the drugs may change or the risk of side effects may\nbe greater. Among the drugs that may interact with\nacetaminophen are alcohol, nonsteroidal anti-inflam-\nmatory drugs (NSAIDs) such as Motrin, oral contra-\nceptives, the antiseizure drug phenytoin (Dilantin), the\nblood-thinning drug warfarin (Coumadin), the choles-', 'be signs of an overdose. Get emergency medical care\nimmediately.\n• cold, clammy skin\n• bluish discoloration of the skin\n• extremely small pupils\n• serious difficulty breathing or extremely slow breathing\n• extreme sleepiness or unresponsiveness\n• severe weakness\n• confusion\n• severe dizziness\n• severe drowsiness\n• slow heartbeat\n• low blood pressure\n• severe nervousness or restlessness\nIn addition, these less common side effects do not\nrequire emergency medical care, but should have medical', 'safely be used.\nMany drugs may interact with isoniazid or rifampin,\nincreasing the chance of liver damage or other side\neffects. Among these drugs are acetaminophen\n(Tylenol), birth control pills and other drugs that contain\nfemale hormones, and the antiseizure drugs divalproex\n(Depakote) and valproic acid (Depakene). For a com-\nplete list of drugs that may have this effect, check with a\npharmacist.\nIsoniazid may also decrease the effects of the anti-', '• liver problems\n• kidney problems\n• any infection\n• eye problems\nUSE OF CERTAIN MEDICINES. Taking antimigraine\ndrugs certain other drugs may affect the way the drugs\nwork or may increase the chance of side effects.\nSide effects\nThe most common side effects are fluid retention,\nflushing; high blood pressure; unusually fast or slow\nheart rate; numbness; tingling; itching ; nausea; vomit-\ning; weakness; neck or jaw pain and stiffness; feelings of']","Acetaminophen overdose symptoms include nausea, vomiting, sweating, and exhaustion, with very large overdoses potentially causing liver damage."
How does acetaminophen differ from aspirin in treating arthritis?,"According to the provided context, unlike aspirin, acetaminophen does not reduce the redness, stiffness, or swelling that accompany arthritis. Aspirin, however, does reduce inflammation and is used to relieve the joint pain from arthritis.","['and reduces fever about as well as aspirin. But differences\nbetween these two common drugs exist. Acetaminophen\nis less likely than aspirin to irritate the stomach. However,\nunlike aspirin, acetaminophen does not reduce the red-\nness, stiffness, or swelling that accompany arthritis.\nRecommended dosage\nThe usual dosage for adults and children age 12 and\nover is 325-650 mg every 4- 6 hours as needed. No more\nthan 4 grams (4000 mg) should be taken in 24 hours.', '• hearing loss\n• dizziness\n• stomach pain that does not go away\nDo not take aspirin that has a vinegary smell. That is\na sign that the aspirin is too old and ineffective. Flush\nsuch aspirin down the toilet.\nBecause aspirin can increase the risk of excessive\nbleeding, do not take aspirin daily over long periods—to\nreduce the risk of stroke or heart attack, for example—\nunless advised to do so by a physician.\nSide effects\nThe most common side effects include stomachache,', 'drugs are more expensive and no more effective than\naspirin. However, they are a little easier on the stomach.\nAspirin is quickly absorbed into the bloodstream and pro-\nvides quick and relatively long-lasting pain relief. Aspirin\nalso reduces inflammation. Researchers believe these\neffects come about because aspirin blocks the production\nof pain-producing chemicals called prostaglandins.\nIn addition to relieving pain and reducing inflamma-', 'blood pH at a normal level of 7.35–7.45.\nHemoglobin —A protein-iron compound in red\nblood cells that functions primarily in carrying\noxygen from the lungs to the tissues of the body.\npH—A measure of the acidity of a solution. Nor-\nmal blood pH ranges from 7.35–7.45.\nAbnormal results\nValues that differ from those listed above may indi-\ncate respiratory, metabolic, or kidney disease. These\nresults also may be abnormal if the patient has experi-', 'Purpose\nAspirin is used to relieve many kinds of minor aches\nand pains—headaches, toothaches, muscle pain, men-\nstrual cramps, the joint pain from arthritis, and aches\nassociated with colds and flu. Some people take aspirin\ndaily to reduce the risk of stroke, heart attack, or other\nheart problems.\nDescription\nAspirin—also known as acetylsalicylic acid—is sold\nover the counter and comes in many forms, from the\nfamiliar white tablets to chewing gum and rectal supposi-']","Unlike aspirin, acetaminophen does not reduce joint inflammation (redness, stiffness, swelling) in arthritis, though both drugs relieve pain and fever equally well. Acetaminophen has the added advantage of being gentler on the stomach."
Can a patient with liver disease safely take acetaminophen?,People who already have kidney or liver disease or liver infections should consult with a physician before using the drug. The context also notes that the drug can potentially harm the liver and carries a risk of liver damage.,"['age exists from combining large amounts of alcohol and\nacetaminophen. People who already have kidney or liver\ndisease or liver infections should also consult with a\nphysician before using the drug. So should women who\nare pregnant or breastfeeding.\nSmoking cigarettes may interfere with the effective-\nness of acetaminophen. Smokers may need to take higher\ndoses of the medicine, but should not take more than the\nrecommended daily dosage unless told by a physician to\ndo so.\nKEY TERMS', 'the steroids take effect.\nPatients with Addison’s disease will need to take a\nsteroid preparation (hydrocortisone) and a replacement\nfor aldosterone (fludrocortisone) by mouth for the rest of\ntheir lives. When a patient has an illness which causes\nnausea and vomiting (such that they cannot hold down\ntheir medications), he or she will need to enter a medical\nfacility where IV medications can be administered.\nWhen a patient has any kind of infection or injury, the', 'dentist.\nPatients should not use acetaminophen for more than\n10 days to relieve pain (5 days for children) or for more\nthan 3 days to reduce fever, unless directed to do so by a\nphysician. If symptoms do not go away—or if they get\nworse—contact a physician. Anyone who drinks three or\nmore alcoholic beverages a day should check with a\nphysician before using this drug and should never take\nmore than the recommended dosage. A risk of liver dam-', 'cines should discuss the possibility of false test results\nwith their physicians.\n• people with liver disease or a history of alcohol abuse\nmay be more likely to develop hepatitis when taking\nisoniazid and are more likely to have side effects that\naffect the liver when taking rifampin.\n• in people with kidney disease, ethambutol, ethion-\namide, or isoniazid may be more likely to cause side\neffects.\n• side effects are also more likely in people with liver dis-\nease who take pyrazinamide.', 'Because the drug can potentially harm the liver, people\nwho drink alcohol in large quantities should take consid-\nerably less acetaminophen and possibly should avoid the\ndrug completely.\nFor children ages 6-11 years, the usual dose is 150-\n300 mg, three to four times a day. Check with a physician\nfor dosages for children under age 6 years.\nPrecautions\nNever take more than the recommended dosage of\nacetaminophen unless told to do so by a physician or\ndentist.']",Patients with liver disease should consult a physician before taking acetaminophen due to the drug's potential to cause liver harm. It should be used cautiously or possibly avoided in such patients.
Why might cigarette smoking affect the efficacy of acetaminophen?,"The provided context states that ""Smoking cigarettes may interfere with the effective-ness of acetaminophen."" It also notes that ""Smokers may need to take higher doses of the medicine...""

However, the context does not explain the reason *why* this interference occurs.

I'm sorry, but I don't have information on that topic.","['breast cancer. It eliminates the need for an external pros-\nthesis (false breast), which many women find physically\nuncomfortable as well as inconvenient.\nPrecautions\nNot all women are good candidates for breast recon-\nstruction. Overall poor physical health, or specific prob-\nlems such as cigarette smoking , obesity , high blood\npressure, or diabetes, will increase the chance of compli-\ncations. Also, a difficult and/or prolonged recovery peri-', 'age exists from combining large amounts of alcohol and\nacetaminophen. People who already have kidney or liver\ndisease or liver infections should also consult with a\nphysician before using the drug. So should women who\nare pregnant or breastfeeding.\nSmoking cigarettes may interfere with the effective-\nness of acetaminophen. Smokers may need to take higher\ndoses of the medicine, but should not take more than the\nrecommended daily dosage unless told by a physician to\ndo so.\nKEY TERMS', '• heart disease or family history of heart problems\n• lung diseases, such as emphysema or asthma\n• history of smoking\n• immune system diseases\n• arthritis or any other conditions that affect movement\n• diseases of the endocrine system, such as diabetes or\nthyroid problems\nSide effects\nBecause general anesthetics affect the central ner-\nvous system, patients may feel drowsy, weak, or tired\nfor as long as a few days after having general anesthesia.', 'Preparation\nThe physician may require discontinuation of any\ndrugs that might affect the test. These types include such\ndrugs as antihypertensives (for treatment of high blood\npressure), coumarin-type anticoagulants (blood-thinning\ndrugs), digitalis, erythromycin (an antibiotic), oral con-\nKEY TERMS\nCirrhosis—Disease of the liver caused by chronic\ndamage to its cells.\nMyocardial infarction —Commonly known as a\nheart attack. Sudden death of part of the heart', 'uric acid is excreted in the urine, or by preventing the\nformation of excess uric acid.\nPrecautions\nBefore taking any medication, patients should notify\ntheir physician of all other medications that they are cur-\nrently taking. Patients should also notify their physician\nof any health problems they are currently experiencing.\nPatients must notify physicians if they have kidney prob-\nlems, since this might affect the type of drug adminis-']","Cigarette smoking can reduce acetaminophen's effectiveness, potentially requiring higher doses, though smokers must still stay within the recommended daily limit."
Is acetaminophen available without a prescription?,"Yes, the context states that acetaminophen is available without a prescription.","['Description\nThis drug is available without a prescription. Aceta-\nminophen—or APAP—is sold under various brand\nnames, including Tylenol, Panadol,Aspirin Free Anacin,\nand Bayer Select Maximum Strength Headache Pain\nRelief Formula. Many multi-symptom cold, flu, and\nsinus medicines also contain acetaminophen. Check the\ningredients listed on the container to see if aceta-\nminophen is included in the product.\nStudies have shown that acetaminophen relieves pain', 'Because the drug can potentially harm the liver, people\nwho drink alcohol in large quantities should take consid-\nerably less acetaminophen and possibly should avoid the\ndrug completely.\nFor children ages 6-11 years, the usual dose is 150-\n300 mg, three to four times a day. Check with a physician\nfor dosages for children under age 6 years.\nPrecautions\nNever take more than the recommended dosage of\nacetaminophen unless told to do so by a physician or\ndentist.', 'moderate pain. Although the drug is well tolerated in nor-\nmal doses, it may have significant toxicity at high doses.\nBecause acetaminophen is largely free of side effects at\ntherapeutic doses, it has been considered the first choice\nfor mild pain, including that of osteoarthritis.\nRecommended dosage\nAppropriate dosage varies by drug, and should con-\nsider the type of pain, as well as other risks associated\nGALE ENCYCLOPEDIA OF MEDICINE 2174\nAnalgesics', 'Description\nSome bronchodilators are inhaled, using a nebulizer\nor an inhalation aerosol. Others are taken as injections or\nby mouth. Most are available only by prescription, but a\nfew, such as ephedrine, can be bought without a physi-\ncian’s prescription. Examples of bronchodilators are\nalbuterol (Proventil, Ventolin), epinephrine (Primatene),\nipratropium (Atrovent), metaproterenol (Alupent,\nMetaprel), and terbutaline (Brethine).\nRecommended dosage\nThe recommended dosage depends on the type of', 'a rash, swelling, or difficulty breathing after taking\nacetaminophen should stop taking the drug and get\nimmediate medical attention. Other rare side effects\ninclude yellow skin or eyes, unusual bleeding or bruis-\ning, weakness, fatigue , bloody or black stools, bloody\nor cloudy urine, and a sudden decrease in the amount\nof urine.\nOverdoses of acetaminophen may cause nausea,\nvomiting, sweating, and exhaustion. Very large overdoses\ncan cause liver damage. In case of an overdose, get']","Yes, acetaminophen is an over-the-counter drug available without a prescription."
What is achalasia and which part of the digestive system does it affect?,"Based on the context provided, achalasia is a disorder of the esophagus that prevents normal swallowing. It is characterized by the failure of the esophageal sphincter to relax, which interrupts the normal movement of food from the esophagus into the stomach.

The part of the digestive system that achalasia affects is the **esophagus**, specifically the **lower esophageal sphincter**.","['internal organs. In France, where acupuncture is very pop-\nular and more accepted by the medical establishment, neu-\nrologist Paul Nogier developed a system of acupuncture\nbased on neuroendocrine theory rather than on traditional\nChinese concepts, which is gaining some use in America.\nBasic ideas of Chinese medicine\nChinese medicine views the body as a small part of\nthe universe, and subject to universal laws and principles\nof harmony and balance. Chinese medicine does not', 'food along the esophagus. Normally, peristalsis causes the\nesophageal sphincter to relax and allow food into the stom-\nach. In achalasia, which means “failure to relax,” the\nesophageal sphincter remains contracted. Normal peristal-\nsis is interrupted and food cannot enter the stomach.\nCauses and symptoms\nCauses\nAchalasia is caused by degeneration of the nerve\ncells that normally signal the brain to relax the\nesophageal sphincter. The ultimate cause of this degener-', 'as a complication of achalasia in 2-7% of patients.\nTreatment\nThe first-line treatment for achalasia is balloon dila-\ntion. In this procedure, an inflatable membrane or bal-\nloon is passed down the esophagus to the sphincter and\ninflated to force the sphincter open. Dilation is effective\nin about 70% of patients.\nThree other treatments are used for achalasia when\nballoon dilation is inappropriate or unacceptable.\n• Botulinum toxin injection. Injected into the sphincter,', 'Check with a physician or pharmacist before combining\nacetaminophen with any other prescription or nonpre-\nscription (over-the-counter) medicine.\nNancy Ross-Flanigan\nAcetylsalicylic acid see Aspirin\nAchalasia\nDefinition\nAchalasia is a disorder of the esophagus that pre-\nvents normal swallowing.\nDescription\nAchalasia affects the esophagus, the tube that carries\nswallowed food from the back of the throat down into the\nstomach. A ring of muscle called the lower esophageal', 'This emergency reaction is regulated by a part of the\nnervous system called the autonomic nervous system, or\nANS. The ANS is controlled by the hypothalamus, a spe-\ncialized part of the brainstem that is among a group of\nstructures called the limbic system. The limbic system\ncontrols human emotions through its connections to\nglands and muscles; it also connects to the ANS and\n“higher” brain centers, such as parts of the cerebral cor-\ntex. One problem with this arrangement is that the limbic']","Achalasia is an esophageal disorder where the lower esophageal sphincter fails to relax during swallowing, preventing food from passing into the stomach."
What is the first-line treatment for achalasia?,"The first-line treatment for achalasia is balloon dilation. In this procedure, an inflatable membrane or balloon is passed down the esophagus to the sphincter and inflated to force the sphincter open.","['as a complication of achalasia in 2-7% of patients.\nTreatment\nThe first-line treatment for achalasia is balloon dila-\ntion. In this procedure, an inflatable membrane or bal-\nloon is passed down the esophagus to the sphincter and\ninflated to force the sphincter open. Dilation is effective\nin about 70% of patients.\nThree other treatments are used for achalasia when\nballoon dilation is inappropriate or unacceptable.\n• Botulinum toxin injection. Injected into the sphincter,', 'mended in the treatment of ABPA. In cases of aspergillo-\nma, it may become necessary to surgically remove or\nreduce the size of a fungal mass, especially if the patient\ncontinues to spit up blood. In aspergillosis cases affecting\nthe nose and nasal sinuses, surgery may also be required.\nIn non-ABPA cases, the use of antifungal drugs may\nbe indicated. In such cases, amphotericin B (Fungizone)\nis the first-line therapy. The prescribed dose will depend', 'as two years.\nPrognosis\nMost patients with achalasia can be treated effective-\nly. Achalasia does not reduce life expectancy unless\nesophageal carcinoma develops.\nGALE ENCYCLOPEDIA OF MEDICINE 220\nAchalasia\nGEM - 0001 to 0432 - A  10/22/03 1:41 PM  Page 20', 'acetylcholine, an important neurotransmitter released by\nneurons that is necessary for cognitive function. These\ndrugs modestly increase cognition and improve one’s\nability to perform normal activities of daily living.\nWhat triggers the formation of plaques and tangles\nand the development of AD are unknown. AD likely\nresults from many interrelated factors, including genetic,\nenvironmental, and others not yet identified. Two types\nof AD exist: familial AD (FAD), which is a rare autoso-', 'Check with a physician or pharmacist before combining\nacetaminophen with any other prescription or nonpre-\nscription (over-the-counter) medicine.\nNancy Ross-Flanigan\nAcetylsalicylic acid see Aspirin\nAchalasia\nDefinition\nAchalasia is a disorder of the esophagus that pre-\nvents normal swallowing.\nDescription\nAchalasia affects the esophagus, the tube that carries\nswallowed food from the back of the throat down into the\nstomach. A ring of muscle called the lower esophageal']","Balloon dilation is the first-line treatment for achalasia, with approximately 70% effectiveness."
What serious complication can develop from untreated achalasia?,"I'm sorry, but I don't have information on that topic.","['Newborns who are exposed to Group B strep can have\ninflammation of the brain, spinal cord, blood or lungs.\nIn some cases, this serious complication can result in\ninfant death.\nResources\nBOOKS\nEisenberg, Arlene, et al. What to Expect When You’re Expecting\nNew York: Workman Publishing Company Inc, 1996.\nPlanning your Pregnancy and BirthWashington, DC: The\nAmerican College of Obstetricians and Gynecologists,\n2000.\nGALE ENCYCLOPEDIA OF MEDICINE 2220\nAntenatal testing', 'ation is unknown. Autoimmune disease or hidden infec-\ntion is suspected.\nSymptoms\nDysphagia, or difficulty swallowing, is the most com-\nmon symptom of achalasia. The person with achalasia usu-\nally has trouble swallowing both liquid and solid foods,\noften feeling that food “gets stuck” on the way down. The\nperson has chest pain that is often mistaken for angina\npectoris (cardiac pain). Heartburn and difficulty belching\nare common. Symptoms usually get steadily worse. Other', 'Some patients develop emphysema (a disease in\nwhich the tiny air sacs in the lungs become damaged,\nleading to shortness of breath, and respiratory and heart\nfailure) as a complication of black lung disease. Others\ndevelop a severe type of black lung disease called pro-\ngressive massive fibrosis, in which damage continues in\nthe upper parts of the lungs even after exposure to the\ndust has ended. Scientists aren’t sure what causes this\nserious complication. Some think that it may be due to', 'symptoms may include nighttime cough or recurrent\npneumoniacaused by food passing into the lower airways.\nDiagnosis\nDiagnosis of achalasia begins with a careful medical\nhistory. The history should focus on the timing of symp-\ntoms and on eliminating other medical conditions that\nmay cause similar symptoms. Tests used to diagnose\nachalasia include:\n• Esophageal manometry. In this test, a thin tube is\npassed into the esophagus to measure the pressure\nexerted by the esophageal sphincter.', 'Ascites\nDefinition\nAscites is an abnormal accumulation of fluid in the\nabdomen.\nDescription\nRapidly developing (acute) ascites can occur as a\ncomplication of trauma, perforated ulcer, appendicitis ,\nor inflammation of the colon or other tube-shaped organ\n(diverticulitis). This condition can also develop when\nintestinal fluids, bile, pancreatic juices, or bacteria\ninvade or inflame the smooth, transparent membrane that\nlines the inside of the abdomen (peritoneum). However,']","Esophageal carcinoma (cancer of the esophagus) is a serious complication of achalasia, occurring in 2-7% of patients, and is the main cause of reduced life expectancy in this condition."
What diagnostic tests are used for achalasia?,"Diagnosis of achalasia begins with a careful medical history. The history should focus on the timing of symptoms and on eliminating other medical conditions that may cause similar symptoms. Tests used to diagnose achalasia include:

*   Esophageal manometry. In this test, a thin tube is passed into the esophagus to measure the pressure exerted by the esophageal sphincter.","['viewed art therapy as an effective diagnostic tool to iden-\ntify specific types of mental illness or traumatic events.\nLater, psychologists would use this diagnostic aspect to\ndevelop psychological drawing tests (the Draw-A-Man\ntest, the Draw-A-Person Questionnaire [DAP.Q]) and\nprojective personality tests involving visual symbol\nrecognition (e.g., the Rorschach Inkblot Test, the The-\nmatic Apperception Test [TAT], and the Holtzman\nInkblot Test [HIT]).', 'symptoms may include nighttime cough or recurrent\npneumoniacaused by food passing into the lower airways.\nDiagnosis\nDiagnosis of achalasia begins with a careful medical\nhistory. The history should focus on the timing of symp-\ntoms and on eliminating other medical conditions that\nmay cause similar symptoms. Tests used to diagnose\nachalasia include:\n• Esophageal manometry. In this test, a thin tube is\npassed into the esophagus to measure the pressure\nexerted by the esophageal sphincter.', 'Patients with pre-existing kidney conditions who are\nhospitalized for other illnesses or injuries should be care-\nfully monitored for kidney failure complications. Treat-\nments and procedures that may put them at risk for kid-\nney failure (like diagnostic tests requiring radiocontrast\nagents or dyes) should be used with extreme caution.\nResources\nBOOKS\nBock, G. H., E. J. Ruley, and M. P. Moore. A Parent’s Guide to\nKidney Disorders. Minneapolis: University of Minnesota\nPress, 1993.', 'ation is unknown. Autoimmune disease or hidden infec-\ntion is suspected.\nSymptoms\nDysphagia, or difficulty swallowing, is the most com-\nmon symptom of achalasia. The person with achalasia usu-\nally has trouble swallowing both liquid and solid foods,\noften feeling that food “gets stuck” on the way down. The\nperson has chest pain that is often mistaken for angina\npectoris (cardiac pain). Heartburn and difficulty belching\nare common. Symptoms usually get steadily worse. Other', 'Down’s syndrome. This screening test only predicts risk;\nappropriate diagnostic testing will follow after an abnor-\nmal screening result.\nIn tumor or liver disease testing, an AFP level\ngreater than 50 ng/mL is considered abnormal.\nResources\nBOOKS\nCunningham, Gary, et al. Williams Obstetrics. 20th ed. Stam-\nford: Appleton & Lange, 1997.\nEisenberg, Arlene, et al. What To Expect When You’re Expect-\ning. 2nd ed. New York: Workman Publishing, 1996.']","Achalasia is diagnosed using esophageal manometry, barium X-ray, and endoscopy."
